confirmed,suspected,dead,cured,time
2,7,0,0,01/20
9,10,0,0,01/21
16,16,0,0,01/22
20,34,0,0,01/23
33,72,0,0,01/24
40,95,1,1,01/25
53,90,1,1,01/26
66,129,1,3,01/27
80,167,1,4,01/28
101,180,1,5,01/29
128,164,1,5,01/30
153,167,1,9,01/31
177,168,1,10,02/01
193,173,1,10,02/02
208,168,1,10,02/03
233,194,1,12,02/04
254,196,1,15,02/05
269,166,1,25,02/06
281,181,1,30,02/07
292,205,1,41,02/08
295,223,1,44,02/09
302,180,1,48,02/10
306,177,1,53,02/11
313,183,1,57,02/12
318,156,1,62,02/13
